Age_Group,2021,2022,2023,2024,2025
All ages,38239864,38950132,40049088,41262329,41651653
0 to 4 years,1902883,1887192,1874658,1874025,1871184
5 to 9 years,2072565,2090692,2120248,2151780,2138350
10 to 14 years,2114016,2146637,2187386,2232438,2251628
15 to 19 years,2059975,2140739,2230085,2313964,2319393
20 to 24 years,2404398,2465156,2589895,2741716,2703780
25 to 29 years,2674655,2747627,2897646,3031487,2995647
30 to 34 years,2704004,2805364,2984138,3145235,3175724
35 to 39 years,2643161,2699898,2809310,2950432,3032523
40 to 44 years,2505252,2570133,2675092,2796675,2859631
45 to 49 years,2381758,2403418,2457114,2538433,2593361
50 to 54 years,2427770,2424801,2430337,2444797,2447311
55 to 59 years,2690509,2624381,2549619,2492843,2446446
60 to 64 years,2612928,2645150,2681436,2712778,2708208
65 to 69 years,2226492,2304280,2379499,2442866,2494286
70 to 74 years,1845779,1870380,1910982,1973110,2044533
75 to 79 years,1272339,1372752,1458583,1535283,1609542
80 to 84 years,841433,875752,917461,963055,1008273
85 to 89 years,521396,527824,540339,558478,579797
90 to 94 years,255977,262016,266566,270684,275677
95 to 99 years,71970,74788,77288,80331,84078
100 years and older,10604,11152,11406,11919,12281
